id_propiedad,ciudad,barrio,tipo_operacion,tipo_inmueble,precio,superficie_m2,habitaciones,baños,estado,año_construccion,planta,ascensor,terraza,piscina,garaje,trastero,distancia_centro_km,fecha_publicacion
1,Madrid,Arganzuela,Venta,Estudio,,57.8,3.0,1.0,Buen estado,2000,2,True,True,False,False,True,4.1,2024-11-04
2,Madrid,Arganzuela,Alquiler,Piso,,,3.0,1.0,Buen estado,1996,Bajo,True,True,False,False,True,5.26,2024-10-16
3,Madrid,Salamanca,Venta,Piso,821455.0,153.97818499224647,2.0,1.0,Buen estado,1996,3,False,True,False,False,False,5.13,2025-03-24
4,Madrid,Arganzuela,Venta,Piso,337577.0,74.0,4.0,2.0,Buen estado,1945,Bajo,True,True,False,False,False,5.52,2024-11-18
5,Madrid,Arganzuela,Venta,Piso,394652.0,82.0,3.0,1.0,Buen estado,1981,5,True,False,,False,True,5.97,2024-11-04
6,Madrid,Salamanca,Venta,Piso,270381.0,55.5,2.0,3.0,Buen estado,1994,4,True,False,True,,True,6.83,2024-10-20
7,Madrid,Arganzuela,Venta,Piso,290384.0,65.0,2.0,1.0,Reformado,1999,1,True,False,True,True,False,4.81,2025-02-27
8,Madrid,Retiro,Alquiler,Estudio,427541.0,94.8,2.0,1.0,Reformado,1970,9,True,False,False,False,False,7.07,2024-11-27
9,Madrid,Arganzuela,Venta,Estudio,,83.3,1.0,1.0,Obra nueva,2018,3,True,True,False,False,False,5.54,2024-11-03
10,Madrid,Centro,Venta, Estudio ,487128.0,90.1,4.0,1.0,Buen estado,1975,5,,False,False,False,True,7.45,
11,Madrid,Chamberí,Venta,Estudio,234086.0,51.4,1.0,2.0,Buen estado,1991,1,False,True,True,False,False,,2025-03-13
12,Madrid,Arganzuela,Venta,Estudio,563753.0,99.0,5.0,2.0,Buen estado,1998,6,False,False,True,True,False,7.87,2024-12-17
13,Madrid,Arganzuela,Venta,Piso,471044.0,101.3,2.0,2.0,Buen estado,1977,Bajo,True,True,False,False,False,5.35,2024-12-06
14,Madrid,Salamanca,Alquiler,Piso,359713.0,79.6,4.0,1.0,Buen estado,1972,9,False,False,False,False,False,4.83,2024-12-28
15,Madrid,Chamberí,Venta,Piso,404155.0,99.5,5.0,,Reformado,1989,7,True,False,False,True,False,3.35,2024-11-14
16,Madrid,Retiro,Venta,Estudio,302729.0,73.7,1.0,2.0,Buen estado,1993,9,True,True,False,True,True,2.4,2025-01-26
17,Madrid,Tetuán,Venta,Piso,599599.0,108.9,3.0,1.0,A reformar,1990,8,True,False,False,,True,3.59,2025-02-12
18,Madrid,Salamanca,Alquiler,Ático,299734.0,68.9,1.0,2.0,Buen estado,1988,2,True,,False,False,False,7.29,2025-04-01
19,Madrid, Centro ,Venta,Piso,140800.0,30.9,3.0,2.0,Buen estado,1956,7,False,True,True,True,True,6.41,2025-02-21
20,Madrid,Retiro,Alquiler,Ático,431652.0,87.8,3.0,1.0,Buen estado,1977,1,False,False,False,True,True,4.1,2025-04-01
21,Madrid,Tetuán,Alquiler,Dúplex,484526.0,95.2,3.0,1.0,Buen estado,1951,4,False,False,False,True,False,5.54,2025-01-28
22,Madrid,Chamberí,Venta,Chalet,316064.0,62.3,3.0,1.0,Reformado,1978,4,False,False,False,True,True,6.45,2025-02-14
23,Madrid,Chamberí,Venta,Piso,510165.0,99.5,3.0,1.0,Buen estado,1988,Ático,True,False,False,False,True,5.66,2025-02-15
24,Madrid,Tetuán,Venta,Piso,416207.0,130.8,5.0,1.0,Buen estado,1976,8,False,True,False,False,False,4.13,2024-10-09
25,Madrid,Tetuán,Venta,Piso,272025.0,61.8,3.0,2.0,Reformado,1985,4,False,False,False,True,False,6.43,2024-12-09
26,Madrid,Salamanca,Venta,Piso,507831.0,97.2,2.0,3.0,Buen estado,1971,7,False,False,False,False,True,4.97,2024-10-26
27,Madrid,Tetuán,Alquiler,Piso,454263.0,86.7,6.0,1.0,Buen estado,1998,8,True,False,False,False,False,3.63,2024-11-20
28,Madrid,Retiro,Venta,Estudio,425792.0,75.5,1.0,1.0,A reformar,1986,8,False,True,False,False,True,6.48,2025-04-03
29,Madrid,Chamberí,Alquiler,Piso,370480.0,68.1,5.0,1.0,Buen estado,1974,5,False,True,False,True,False,4.46,2025-01-29
30,Madrid,Tetuán,Venta,Piso,456013.0,81.6,4.0,1.0,Buen estado,1989,Bajo,True,,False,True,True,,2025-03-08
31,Madrid,Tetuán,Venta,Piso,434936.0,83.4,1.0,1.0,Buen estado,1983,Ático,True,True,,,False,5.08,2024-10-24
32,Madrid,Chamberí,Venta,Piso,577461.0,92.6,2.0,2.0,Buen estado,1984,8,True,False,False,True,True,6.36,2024-12-08
33,Madrid,Retiro,Venta,Piso,390970.0,80.7,1.0,1.0,Buen estado,2000,9,True,True,True,False,True,4.86,2025-03-05
34,Madrid,Centro,Venta,Piso,335042.0,72.2,4.0,1.0,Buen estado,2001,1,False,False,False,False,False,6.02,2024-11-02
35,Madrid,Arganzuela,Venta,Piso,370080.0,79.0,1.0,4.0,Buen estado,1990,Bajo,False,False,True,True,False,,2025-03-30
36,Madrid,Arganzuela,Alquiler,Piso,645789.0,112.8,3.0,1.0,Buen estado,1978,5,False,False,True,,False,6.78,2024-11-05
37,Madrid,Chamberí,Venta,Piso,282192.0,66.8,2.0,1.0,Buen estado,1990,2,False,False,False,False,False,,2024-12-19
38,Madrid,Centro,Venta,Ático,632835.0,114.6,1.0,1.0,Buen estado,1954,8,True,True,False,True,False,7.08,2024-11-03
39,Madrid,Salamanca,Venta,Piso,,,4.0,1.0,Buen estado,1996,1,True,False,False,True,True,3.92,2024-12-08
40,Madrid,Chamberí,Venta,Piso,296289.0,53.5,1.0,1.0,Reformado,1983,Bajo,True,True,False,True,False,6.64,2024-11-20
41,Madrid,Centro,Venta, Piso ,387340.0,76.8,1.0,1.0,Reformado,1986,7,True,True,True,True,False,5.6,2024-12-21
42,Madrid,Centro,Venta,Estudio,390323.0,77.9,6.0,1.0,Obra nueva,2023,7,True,True,False,False,True,5.76,2024-11-17
43,Madrid,Chamberí,Venta,Chalet,629773.0,106.8,1.0,1.0,Buen estado,2001,8,False,False,True,False,False,7.44,2024-10-24
44,Madrid,Arganzuela,Venta,Piso,439993.0,86.5,2.0,1.0,Buen estado,1974,8,False,False,False,True,False,7.34,2024-11-18
45,Madrid,Salamanca,Alquiler,Piso,,,5.0,3.0,Buen estado,1950,9,False,True,True,False,False,3.4,2024-10-26
46,Madrid,Arganzuela,Alquiler,Piso,339996.0,65.2,2.0,2.0,Reformado,1960,9,True,False,False,True,True,7.37,2024-12-11
47,Madrid,Tetuán,Venta,Estudio,355364.0,77.1,3.0,,Buen estado,1975,9,True,,False,True,True,5.64,2025-03-02
48,Madrid,Tetuán,Venta,Piso,375666.0,86.7,5.0,1.0,Buen estado,2007,5,True,True,False,True,True,6.63,2024-12-09
49,Madrid,Retiro,Venta,Estudio,409971.0,98.2,1.0,1.0,Buen estado,1998,5,False,True,,False,False,4.16,2024-10-27
50,Madrid,Salamanca,Venta,Chalet,311026.0,68.0,2.0,1.0,A reformar,2010,1,True,False,False,True,False,3.41,2025-02-23
51,Madrid,Chamberí,Venta,Piso,462193.0,98.7,1.0,1.0,Buen estado,1973,1,True,True,False,False,True,6.21,2024-12-10
52,Madrid,Retiro,Venta,Piso,361605.0,65.8,,,Buen estado,1968,4,True,True,True,False,True,2.33,
53,Madrid,Arganzuela,Venta,Estudio,488325.0,99.2,,1.0,Buen estado,1983,Ático,True,True,False,True,False,4.48,2024-11-04
54,Madrid,Chamberí,Venta,Ático,502181.0,91.0,1.0,1.0,Obra nueva,2019,4,True,False,True,True,False,5.31,2024-12-20
55,Madrid,Tetuán,Venta,Piso,248735.0,55.9,4.0,2.0,Buen estado,1983,4,True,True,False,True,True,,2025-02-15
56,Madrid,Centro,Venta,Ático,484158.0,99.6,3.0,1.0,Buen estado,1980,Ático,False,True,False,True,False,3.64,2025-01-25
57,Madrid,Retiro,Venta,Piso,552851.0,101.1,3.0,3.0,Buen estado,1963,4,True,False,True,False,True,0.79,2024-11-19
58,Madrid,Arganzuela,Venta,Estudio,,,1.0,1.0,Buen estado,1984,1,False,True,True,False,False,4.77,2024-10-28
59,Madrid,Arganzuela,Alquiler,Piso,403196.0,75.3,2.0,1.0, Obra nueva ,2022,8,True,True,False,True,False,8.26,2024-11-15
60,Madrid,Centro,Venta,Piso,573348.0,98.8,1.0,2.0,Reformado,1970,Bajo,True,False,False,True,True,5.69,2025-01-08
61,Madrid,Chamberí,Venta,Estudio,352221.0,77.5,2.0,1.0,Buen estado,1974,8,False,False,True,False,False,5.51,2025-01-21
62,Madrid,Tetuán,Alquiler,Ático,317995.0,69.2,1.0,1.0,Buen estado,1989,2,True,False,False,True,False,6.1,2024-11-23
63,Madrid,Centro,Venta,Estudio,495633.0,118.9,,1.0,Buen estado,1994,6,True,True,True,False,False,5.42,
64,Madrid,Arganzuela,Alquiler,Piso,427817.0,94.9,1.0,1.0,Obra nueva,2018,6,False,False,False,False,False,4.43,2024-10-18
65,Madrid,Centro,Venta,Dúplex,404027.0,74.4,4.0,1.0,Buen estado,1966,4,True,False,True,True,True,6.18,2024-12-06
66,Madrid,Chamberí,Venta,Piso,294533.0,60.3,1.0,1.0,Buen estado,1980,1,True,,False,True,False,4.16,2024-12-19
67,Madrid,Retiro,Venta,Piso,,,4.0,1.0,A reformar,2000,8,,,False,True,False,5.13,2025-01-01
68,Madrid,Salamanca,Venta,Chalet,1087781.0,208.00826529982356,1.0,1.0,Buen estado,1966,4,False,False,True,True,False,6.92,2024-10-18
69,Madrid,Salamanca,Venta,Piso,443369.0,82.3,2.0,1.0,Obra nueva,2021,9,True,True,False,,,5.87,2025-02-16
70,Madrid,Salamanca,Venta,Piso,,32.2,3.0,2.0,Buen estado,1968,6,True,False,False,True,True,5.15,2024-10-09
71,Madrid,Tetuán,Alquiler,Piso,407679.0,80.3,2.0,1.0,Obra nueva,2023,Ático,True,True,True,True,False,5.6,2024-11-28
72,Madrid,Retiro,Venta,Ático,406332.0,81.7,1.0,1.0,Reformado,1969,9,False,True,False,False,False,6.11,2024-12-28
73,Madrid,Arganzuela,Alquiler,Estudio,474008.0,83.7,,1.0,Buen estado,1998,4,,False,False,False,False,6.18,2025-03-28
74,Madrid,Centro, Venta ,Estudio,376020.0,77.5,1.0,1.0,Buen estado,1992,3,False,,True,False,False,3.25,2025-01-24
75,Madrid,Arganzuela,Alquiler,Estudio,371069.0,78.6,3.0,1.0,Reformado,1988,9,False,False,False,False,False,6.93,2025-03-03
